id, username, created_at, lng, lat, text
1253542449324032000, dearahmaaaa, Fri Apr 24 04:33:04 +0000 2020, 112.629076, -7.972495, @fthrnaylah @Um_sansfess @tsaniul Sek kehabisan stok paling wkwk 
1253542449709891585, Diana_nabela, Fri Apr 24 04:33:04 +0000 2020, 112.671043, -7.371628, Gini ya rasanya.. Riwa riwi beli ini itu ngurus ini itu😀Kaya capek² seneng gitu sih kalo dah mau kejenjang yg lebi… https://t.co/agygTh6tCr 
1253542448246054912, kanja080234, Fri Apr 24 04:33:04 +0000 2020, 100.958690, 19.168100, แค่กูบอกว่ากางเกงในสวย แม้งถอดแล้วยกให้กูเลยกางเกงในบ้านๆ ของไอ้หนุ่มตัวเล็กแต่เจี้ยวไม่เล็ก หุ่นลีนๆกล้ามเป็นลอน ใ… https://t.co/wekZDUkRPj 
1253542450498465792, michangeli__, Fri Apr 24 04:33:04 +0000 2020, 121.213935, 14.155995, @Joseph_Morong Ika nga'y, BURN 
1253542451911909379, moralesnikkiii, Fri Apr 24 04:33:04 +0000 2020, 125.443262, 7.317583, teka langgg!!! 
1253542451853156354, malcolmkeys, Fri Apr 24 04:33:04 +0000 2020, 114.139883, 22.276870, @MisterEdward @AussieGolfer @bigchrisso Tough to hold that green from that angle Simon. How good is Flinders 👍👍👍👍 masterpiece 
1253542452041969665, Sephredooo, Fri Apr 24 04:33:04 +0000 2020, 120.969502, 14.430456, @soleiljnncadlf Sana black, Maam! 😩 
1253542452348088324, RahulArav3, Fri Apr 24 04:33:04 +0000 2020, 82.584181, 19.938705, What a sight he was to watch while at his merry days. 🤩Happy Birthday to the man who inspired a generation of pla… https://t.co/l4CY8AGA4q 
1253542453082128385, DoniSet74745904, Fri Apr 24 04:33:05 +0000 2020, 111.397886, -0.493301, lockdown victims due to covid-19 plague https://t.co/IBuF2QJ4Kv 
1253542454084554752, ahmad_cfc27, Fri Apr 24 04:33:05 +0000 2020, 106.932335, -6.239147, @ChelseaFC Thanks 
